,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Date
91,saint-augustin,51.226,-58.6502,32.74,96,100,7.47,1612609039
92,tigil,57.8,158.6667,10.33,91,100,6.64,1612608601
93,norrtalje,59.758,18.705,23.0,79,75,9.22,1612609039
94,bubaque,11.2833,-15.8333,73.99,53,75,19.37,1612608554
95,phalaborwa,-23.943,31.1411,75.2,94,97,5.75,1612609040
96,tasiilaq,65.6145,-37.6368,26.6,63,75,3.44,1612608586
97,torbay,47.6666,-52.7314,33.01,86,75,16.11,1612608601
98,iskateley,67.6803,53.1512,-15.43,87,58,12.66,1612609040
99,pulandian,39.3953,121.9669,39.2,56,0,6.71,1612609040
100,mareeba,-17.0,145.4333,82.4,78,90,4.61,1612608602
101,pisco,-13.7,-76.2167,66.99,88,98,4.47,1612608569
102,ojinaga,29.5667,-104.4167,50.0,32,1,3.44,1612609040
103,boyolangu,-8.1181,111.8935,78.66,83,93,0.96,1612609040
104,katsuura,35.1333,140.3,51.8,71,0,2.3,1612609040
105,lebu,-37.6167,-73.65,58.5,93,96,7.58,1612608571
106,qaanaaq,77.484,-69.3632,5.31,85,100,6.73,1612608570
107,yar-sale,66.8333,70.8333,-27.83,85,100,14.76,1612608601
108,kavieng,-2.5744,150.7967,81.82,67,100,2.26,1612608599
109,missoula,47.0166,-113.8009,33.01,86,75,2.75,1612609041
110,dudinka,69.4058,86.1778,-29.69,82,28,9.13,1612609041
111,kisoro,-1.2854,29.685,73.83,45,98,4.65,1612609041
112,asau,46.4333,26.4,32.0,75,100,1.28,1612609041
113,aurora,39.7294,-104.8319,34.0,55,40,21.85,1612608811
114,mar del plata,-38.0023,-57.5575,73.4,53,0,10.36,1612608554
115,san rafael,-34.6177,-68.3301,73.4,48,0,6.24,1612609041
116,yellowknife,62.456,-114.3525,-40.0,66,1,6.91,1612608554
117,rocha,-34.4833,-54.3333,64.87,67,0,4.18,1612609042
118,deputatskiy,69.3,139.9,-26.99,88,100,2.71,1612608576
119,katsina,12.9894,7.6006,82.06,15,42,17.58,1612609042
120,zhigalovo,54.8097,105.1578,8.49,92,100,3.09,1612609042
121,isangel,-19.55,169.2667,79.14,78,9,4.74,1612608568
122,castro,-24.7911,-50.0119,60.53,79,0,2.89,1612608578
123,severo-kurilsk,50.6789,156.125,18.14,94,100,18.23,1612608595
124,longkou,37.6508,120.3286,37.54,79,0,11.97,1612609043
125,fortuna,40.5982,-124.1573,46.99,93,90,4.38,1612608573
126,gamba,-2.65,10.0,84.52,73,92,5.84,1612608627
127,broken hill,-31.95,141.4333,73.4,46,0,18.41,1612609043
128,tuy hoa,13.0833,109.3,71.94,85,55,8.32,1612608759
129,atar,20.5169,-13.0499,64.8,39,48,15.52,1612608623
130,goshen,41.5823,-85.8344,7.0,72,75,12.66,1612609043
131,hilo,19.7297,-155.09,64.4,77,1,6.91,1612608314
132,saint-louis,16.3333,-15.0,66.2,68,0,4.61,1612609044
133,vaini,-21.2,-175.2,78.8,100,75,22.64,1612608554
134,tiksi,71.6872,128.8694,-21.95,88,100,5.7,1612608565
135,korla,41.7597,86.1469,35.2,70,88,4.92,1612608583
136,evensk,61.95,159.2333,2.93,87,62,14.74,1612609044
137,mogadishu,2.0371,45.3438,84.2,58,20,19.57,1612608622
138,butaritari,3.0707,172.7902,80.4,83,100,18.39,1612608568
139,mugur-aksy,50.35,90.5,9.34,89,30,3.0,1612609045
140,narsaq,60.9167,-46.05,15.8,62,0,5.75,1612608592
141,port elizabeth,-33.918,25.5701,82.4,65,20,13.8,1612608365
142,talnakh,69.4865,88.3972,-28.25,79,33,4.99,1612608422
143,rantepao,-2.9701,119.8978,71.56,89,100,0.34,1612609045
144,miri,4.4148,114.0089,80.6,89,40,6.91,1612609046
145,port lincoln,-34.7333,135.8667,62.53,80,87,12.35,1612609046
146,mount isa,-20.7333,139.5,75.2,100,90,4.61,1612608568
147,tucumcari,35.1717,-103.725,33.8,40,1,11.5,1612609046
148,taoudenni,22.6783,-3.9836,74.14,25,100,12.5,1612609046
149,chokurdakh,70.6333,147.9167,-13.86,87,60,8.7,1612608554
150,alyangula,-13.8483,136.4192,78.8,100,90,12.66,1612608618
151,dillon,34.4166,-79.3712,42.8,75,40,5.84,1612609046
152,santa cruz,-17.8,-63.1667,73.4,73,20,6.91,1612609046
153,mollendo,-17.0231,-72.0147,69.06,80,27,4.9,1612609046
154,asbestos,45.7668,-71.9324,24.8,93,90,4.61,1612609047
155,puksoozero,62.5903,40.6066,-1.39,91,100,11.01,1612609047
156,port augusta,-32.5,137.7667,68.0,73,48,18.41,1612609047
157,vao,-22.6667,167.4833,78.01,86,0,7.81,1612608559
158,belyy yar,53.6039,91.3903,21.2,68,94,2.24,1612609047
159,arkhara,49.4212,130.0842,-12.66,90,82,4.81,1612609047
160,carnarvon,-24.8667,113.6333,84.2,100,75,14.97,1612608571
161,padang,-0.9492,100.3543,87.8,58,20,3.44,1612608595
162,brasilia,-15.7797,-47.9297,70.0,94,75,3.44,1612609047
163,henties bay,-22.116,14.2845,66.99,87,43,5.01,1612609048
164,kedrovyy,56.1667,91.8167,14.0,79,97,6.71,1612609048
165,punta arenas,-53.15,-70.9167,42.8,70,90,5.75,1612608574
166,austin,30.2672,-97.7431,48.99,81,90,3.44,1612609009
167,codrington,-38.2667,141.9667,61.3,81,81,17.63,1612608570
168,port macquarie,-31.4333,152.9167,72.0,99,100,2.75,1612608611
169,aklavik,68.2191,-135.0107,-20.2,76,100,4.61,1612608568
170,bereda,43.2686,-7.5406,46.0,100,100,14.0,1612609048
171,hobart,-42.8794,147.3294,60.01,88,75,5.75,1612608451
172,tilichiki,60.4667,166.1,6.98,96,100,10.6,1612609048
173,lagoa,39.05,-27.9833,58.95,86,100,17.49,1612608578
174,ponnani,10.767,75.9252,87.8,48,40,3.44,1612609049
175,thinadhoo,0.5333,72.9333,82.09,75,26,14.79,1612609049
176,cherskiy,68.75,161.3,-8.32,84,94,9.46,1612608606
177,benito juarez,19.385,-99.165,57.2,54,1,3.94,1612609049
178,cape town,-33.9258,18.4232,82.0,57,0,19.57,1612608313
179,kaitangata,-46.2817,169.8464,52.56,95,1,1.61,1612608575
